date,description,amount,account,month,category,is_ghl,is_stripe_loan,is_business
1/6/25,Purchase authorized on 01/04 Sq *Dart Coffee CO Santa,12.75,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/6/25,Purchase authorized on 01/04 Waterfront Parking Santa,10.5,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/6/25,Purchase authorized on 01/04 Finney's Goleta Goleta CA,79.93,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/6/25,Recurring Payment authorized on 01/04 Highlevel Agency S,497.0,Wells Fargo Business,013125,Software/SaaS,True,False,True
1/6/25,"Recurring Transfer to Carpefukendiem, LLC Business Market",25.0,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/6/25,Barclaycard US Creditcard 1215501948 Ruben Ruiz,175.0,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/6/25,Home Depot Online Pmt 250105 631583507931402 Ruben,350.0,Wells Fargo Business,013125,Office Supplies,False,False,True
1/6/25,Chase Credit Crd Epay 250103 8078375148 Ruben Ruiz 250.00 -,455.65,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/7/25,Overdraft Fee for a Transaction Posted on 01/06 $350.00 Home,35.0,Wells Fargo Business,013125,Interest/Bank Fees,False,False,True
1/7/25,Overdraft Fee for a Transaction Posted on 01/06 $250.00 Chase,35.0,Wells Fargo Business,013125,Interest/Bank Fees,False,False,True
1/7/25,Stripe Transfer St-O1Q5T5F6W2F7 Ruben Ruiz 9.92 -,515.73,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/8/25,Stripe Transfer St-Q9V5U6Z7x8S5 Ruben Ruiz 22.27 -,493.46,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/9/25,Stripe Transfer St-P2P8C5V1W5M5 Ruben Ruiz 28.55 -,464.91,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/10/25,Recurring Payment authorized on 01/10 Highlevel Inc. 25.00 -,489.91,Wells Fargo Business,013125,Software/SaaS,True,False,True
1/13/25,Overdraft Fee for a Transaction Posted on 01/10 $25.00,35.0,Wells Fargo Business,013125,Interest/Bank Fees,False,False,True
1/13/25,Stripe Transfer St-W4B3x1B9O1C3 Ruben Ruiz 57.51 -,467.4,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/15/25,Stripe Transfer St-R5B8L9Z6M8T1 Ruben Ruiz 58.14 -,409.26,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/16/25,Stripe Transfer St-U3R0F9R7G8Z0 Ruben Ruiz 10.32 -,398.94,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/17/25,Stripe Transfer St-Z0B4W1N6W3E9 Ruben Ruiz 178.85 -,220.09,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/21/25,Stripe Transfer St-x1W1O1Z4Y2L2 Ruben Ruiz,300.46,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/21/25,Recurring Payment authorized on 01/17 Google *Google One,1.99,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/21/25,Purchase authorized on 01/21 Holister Fuel D Goleta CA,20.54,Wells Fargo Business,013125,Travel,False,False,True
1/21/25,Online Transfer to Nail-Ruiz J Way2Save Savings xxxxxx4174 Ref 57.00,0.84,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/22/25,Stripe Transfer St-M9G5D4V7O2D8 Ruben Ruiz,145.35,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/22/25,Recurring Payment authorized on 01/21 Highlevel Inc. 25.00,121.19,Wells Fargo Business,013125,Software/SaaS,True,False,True
1/23/25,Stripe Transfer St-C2F4P2K6R5x3 Ruben Ruiz,1644.77,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/23/25,Recurring Payment authorized on 01/22 Ouraring Inc.,5.99,Wells Fargo Business,013125,Uncategorized,False,False,True
1/23/25,Zelle to Ruiz Janice on 01/23 Ref #Pp0Ygdk5Ff Health,1250.0,Wells Fargo Business,013125,Transfer,False,False,True
1/23/25,< Business to Business ACH Debit - Affirm Inc Affirm Pay 250122 17.01,492.96,Wells Fargo Business,013125,Uncategorized,False,False,True
1/24/25,Stripe Transfer St-x5W2Q9S5V0P9 Ruben Ruiz,11.48,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/24/25,Purchase authorized on 01/22 Marborg Disposal 805-9631852,75.0,Wells Fargo Business,013125,Uncategorized,False,False,True
1/24/25,Purchase authorized on 01/24 Milpas Liquor & Deli Santa,4.34,Wells Fargo Business,013125,Uncategorized,False,False,True
1/24/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,50.0,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/24/25,Zelle to Ruiz Janice on 01/24 Ref #Pp0Yghwfkn Owner Draw,100.0,Wells Fargo Business,013125,Transfer,False,False,True
1/24/25,United Fin Cas Ins Prem 250123 981362625 Ruben Ruben Ruiz 88.67,186.43,Wells Fargo Business,013125,Travel,False,False,True
1/27/25,Zelle From Nailruiz Janice on 01/26 Ref # Pp0Ygnbnmt,240.0,Wells Fargo Business,013125,Transfer,False,False,True
1/27/25,Stripe Transfer St-L1O3N4D5Y1Q6 Ruben Ruiz,367.11,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/27/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,25.0,Wells Fargo Business,013125,Transfer,False,False,True
1/27/25,Purchase authorized on 01/24 Sq *Mony's Santa Barbara CA,10.88,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/27/25,Purchase authorized on 01/24 Chipotle 1459 Goleta CA,15.39,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/27/25,Purchase authorized on 01/24 Ptgc LLC Goleta Goleta CA,20.02,Wells Fargo Business,013125,Uncategorized,False,False,True
1/27/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,100.0,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/27/25,Recurring Payment authorized on 01/25 Dnh*Godaddy.Com,22.17,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/27/25,Purchase authorized on 01/26 Bream Optometry Goleta CA,190.0,Wells Fargo Business,013125,Uncategorized,False,False,True
1/27/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,60.0,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/27/25,Cox Comm Sab Bank Draft 012725 Lsggc91Qimulk6W Wells 155.06,245.02,Wells Fargo Business,013125,Communications,False,False,True
1/28/25,Stripe Transfer St-G8T7D1R1F2P5 Ruben Ruiz,21.06,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/28/25,Purchase authorized on 01/27 Prime Video Channe,4.99,Wells Fargo Business,013125,Uncategorized,False,False,True
1/28/25,Purchase authorized on 01/27 Sq *Santa Barbara Santa Barbara,5.35,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/28/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref 50.00,205.74,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/29/25,Stripe Transfer St-J2Z6P8Z9U1V0 Ruben Ruiz,251.67,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/29/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,60.0,Wells Fargo Business,013125,Transfer,False,False,True
1/29/25,Online Transfer From Ruiz R Way2Save Savings xxxxxx2929 Ref,11.0,Wells Fargo Business,013125,Transfer,False,False,True
1/29/25,Online Transfer From Nail-Ruiz J Way2Save Savings xxxxxx4174,10.0,Wells Fargo Business,013125,Transfer,False,False,True
1/29/25,Recurring Payment authorized on 01/28 Audible*Zc4C15Vd0,14.95,Wells Fargo Business,013125,Uncategorized,False,False,True
1/29/25,Vz Wireless Vw Vzw Webpay 250128 5029721 Ruben *Ruiz 218.86,304.6,Wells Fargo Business,013125,Uncategorized,False,False,True
1/30/25,Overdraft Fee for a Transaction Posted on 01/29 $218.86 Vz,35.0,Wells Fargo Business,013125,Interest/Bank Fees,False,False,True
1/30/25,Stripe Transfer St-L4D3I5U1K5J3 Ruben Ruiz,268.04,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/30/25,Purchase authorized on 01/29 Bench Accounting U Bench.CO,299.0,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/30/25,Recurring Payment authorized on 01/29 Highlevel Inc.,25.0,Wells Fargo Business,013125,Software/SaaS,True,False,True
1/30/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref 125.00,88.64,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/31/25,Stripe Transfer St-B5C4P4C6Y0Z3 Ruben Ruiz,14.22,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/31/25,Monthly Service Fee 10.00,92.86,Wells Fargo Business,013125,Interest/Bank Fees,False,False,True
2/3/25,Stripe Transfer St-Z9P3M0H0E3J6 Ruben Ruiz,33.68,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/3/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,15.0,Wells Fargo Business,022825,Transfer,False,False,True
2/3/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,20.0,Wells Fargo Business,022825,Transfer,False,False,True
2/3/25,Purchase authorized on 01/30 2Cocom*Bitdefender,34.99,Wells Fargo Business,022825,Uncategorized,False,False,True
2/3/25,Purchase authorized on 01/30 IN-N-Out Goleta Goleta CA,11.85,Wells Fargo Business,022825,Meals/Entertainment,False,False,True
2/3/25,Purchase authorized on 01/31 Avenu Tax 800-556-,0.13,Wells Fargo Business,022825,Uncategorized,False,False,True
2/3/25,Purchase authorized on 01/31 Avenu Tax Admin We,4.23,Wells Fargo Business,022825,Uncategorized,False,False,True
2/3/25,Purchase authorized on 01/31 Wingstop 2592 Goleta CA,8.69,Wells Fargo Business,022825,Uncategorized,False,False,True
2/3/25,Purchase authorized on 01/31 Sq *Lighthouse Cof Goleta CA,3.5,Wells Fargo Business,022825,Uncategorized,False,False,True
2/3/25,Purchase authorized on 01/31 Chipotle 1688 Santa Barbara CA,27.24,Wells Fargo Business,022825,Meals/Entertainment,False,False,True
2/3/25,Purchase authorized on 01/31 LA Cumbre Fuel Santa Barbar CA,10.0,Wells Fargo Business,022825,Meals/Entertainment,False,False,True
2/3/25,Recurring Payment authorized on 02/01 Google *Gsuite_Ran,7.2,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/3/25,Purchase authorized on 02/01 Ace Parking 2293 Santa Barbara,3.0,Wells Fargo Business,022825,Meals/Entertainment,False,False,True
2/3/25,Recurring Payment authorized on 02/01 Sinch Mailgun,35.28,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/3/25,Recurring Payment authorized on 02/02 Highlevel Inc.,25.0,Wells Fargo Business,022825,Software/SaaS,True,False,True
2/3/25,Recurring Payment authorized on 02/02 x Corp. Paid Featu 16.00 -,25.57,Wells Fargo Business,022825,Uncategorized,False,False,True
2/4/25,Overdraft Fee for a Transaction Posted on 02/03 $25.00,35.0,Wells Fargo Business,022825,Interest/Bank Fees,False,False,True
2/4/25,Overdraft Fee for a Transaction Posted on 02/03 $16.00,35.0,Wells Fargo Business,022825,Interest/Bank Fees,False,False,True
2/4/25,Stripe Transfer St-B4Y4O0G7Q7H8 Ruben Ruiz 44.13 -,51.44,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/5/25,Stripe Transfer St-x8V3x5J8T0E5 Ruben Ruiz 40.99 -,10.45,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/6/25,Stripe Transfer St-M7R6E1Z7F1H6 Ruben Ruiz 9.45 -,1.0,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/7/25,Stripe Transfer St-A1J2F8Z4B2Q9 Ruben Ruiz 9.57,8.57,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/10/25,Stripe Transfer St-D4F3Q0G4x2R7 Ruben Ruiz,22.27,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/10/25,Recurring Payment authorized on 02/08 Highlevel Inc. 25.00,5.84,Wells Fargo Business,022825,Software/SaaS,True,False,True
2/11/25,Stripe Transfer St-E9B0C7H0D2E4 Ruben Ruiz,19.12,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/11/25,Zelle From Nailruiz Janice on 02/11 Ref # Pp0Yj7Zljv Gas for,60.0,Wells Fargo Business,022825,Travel,False,False,True
2/11/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,15.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/11/25,Purchase authorized on 02/11 Storke Fuel Dep Goleta CA 47.63,22.33,Wells Fargo Business,022825,Travel,False,False,True
2/12/25,Stripe Transfer St-S2N4J9C8Q5J6 Ruben Ruiz,9.43,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/12/25,ATM Withdrawal authorized on 02/12 195 N Fairview Ave,20.0,Wells Fargo Business,022825,Uncategorized,False,False,True
2/12/25,Purchase authorized on 02/12 Fairview Fuel D Goleta CA 10.01,1.75,Wells Fargo Business,022825,Travel,False,False,True
2/13/25,Stripe Transfer St-D9T6B7Q1K8Y9 Ruben Ruiz,88.7,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/13/25,Recurring Payment authorized on 02/12 Highlevel Inc. 25.00,65.45,Wells Fargo Business,022825,Software/SaaS,True,False,True
2/14/25,Online Transfer From Nail-Ruiz J Way2Save Savings xxxxxx4174,26.0,Wells Fargo Business,022825,Transfer,False,False,True
2/14/25,Purchase authorized on 02/13 Ralphs #0 100 W.Carril Santa 45.71,45.74,Wells Fargo Business,022825,Uncategorized,False,False,True
2/18/25,Stripe Transfer St-I9W0E4N2W4J5 Ruben Ruiz,9.43,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/18/25,Recurring Payment authorized on 02/13 Google *Google One,1.99,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/18/25,Purchase authorized on 02/13 McCormix Oil Corpo Santa,20.25,Wells Fargo Business,022825,Uncategorized,False,False,True
2/18/25,Purchase authorized on 02/13 Paypal *Apple.Com/,5.99,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/18/25,Purchase authorized on 02/13 IN-N-Out Goleta Goleta CA,11.85,Wells Fargo Business,022825,Meals/Entertainment,False,False,True
2/18/25,Purchase authorized on 02/15 Sprouts Farmers Market # 4.49,10.6,Wells Fargo Business,022825,Health/Wellness,False,False,True
2/19/25,Recurring Payment authorized on 02/18 Loom Subscription 96.00 -,85.4,Wells Fargo Business,022825,Uncategorized,False,False,True
2/20/25,Overdraft Fee for a Transaction Posted on 02/19 $96.00,35.0,Wells Fargo Business,022825,Interest/Bank Fees,False,False,True
2/20/25,Stripe Transfer St-R2N3B6O7L8I2 Ruben Ruiz,1153.45,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/20/25,Recurring Payment authorized on 02/19 Highlevel Inc.,25.0,Wells Fargo Business,022825,Software/SaaS,True,False,True
2/20/25,Online Transfer to Ruiz R Ref #Ib0Rd38Gmv Everyday Checking,100.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/20/25,Zelle to Ruiz Janice on 02/20 Ref #Pp0Yjzxfcs Office Bookshelf 31.00,877.05,Wells Fargo Business,022825,Transfer,False,False,True
2/21/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,60.0,Wells Fargo Business,022825,Transfer,False,False,True
2/21/25,Purchase authorized on 02/20 Prime Video Channe,5.99,Wells Fargo Business,022825,Uncategorized,False,False,True
2/21/25,Purchase authorized on 02/20 Siteground Hosting,47.4,Wells Fargo Business,022825,Uncategorized,False,False,True
2/21/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,55.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/21/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,93.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/21/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,10.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/21/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,6.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/21/25,< Business to Business ACH Debit - Affirm Inc Affirm Pay 250220,17.01,Wells Fargo Business,022825,Uncategorized,False,False,True
2/21/25,Home Depot Online Pmt 250220 601624710019747 Ruben,165.0,Wells Fargo Business,022825,Office Supplies,False,False,True
2/21/25,Chase Credit Crd Epay 250220 8193383966 Ruben Ruiz,225.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/21/25,Barclaycard US Creditcard 1233826250 Ruben Ruiz 243.50,69.15,Wells Fargo Business,022825,Meals/Entertainment,False,False,True
2/24/25,Stripe Transfer St-A9P9S4D6V5O8 Ruben Ruiz,55.05,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/24/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,1.0,Wells Fargo Business,022825,Transfer,False,False,True
2/24/25,Purchase authorized on 02/20 McCormix Oil Corpo Santa,25.0,Wells Fargo Business,022825,Uncategorized,False,False,True
2/24/25,Purchase authorized on 02/21 PY *Cajun Kitchen Goleta CA,45.88,Wells Fargo Business,022825,Meals/Entertainment,False,False,True
2/24/25,Recurring Payment authorized on 02/22 Ouraring Inc.,5.99,Wells Fargo Business,022825,Uncategorized,False,False,True
2/24/25,Vz Wireless Vw Vzw Webpay 250221 4568923 Ruben *Ruiz 50.00 -,1.67,Wells Fargo Business,022825,Uncategorized,False,False,True
2/25/25,Overdraft Fee for a Transaction Posted on 02/24 $50.00 Vz,35.0,Wells Fargo Business,022825,Interest/Bank Fees,False,False,True
2/25/25,Stripe Transfer St-E0N4R1H3I5R3 Ruben Ruiz,1251.87,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/25/25,Online Transfer From Ruiz R Way2Save Savings xxxxxx2929 Ref,100.0,Wells Fargo Business,022825,Transfer,False,False,True
2/25/25,Recurring Payment authorized on 02/24 Dnh*Godaddy.Com,22.17,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/25/25,Online Transfer to Nail-Ruiz J Way2Save Savings xxxxxx4174 Ref,500.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/25/25,Online Transfer to Ruiz R Way2Save Savings xxxxxx2929 Ref,700.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/25/25,United Fin Cas Ins Prem 250224 981362625 Ruben Ruben Ruiz 88.67,4.36,Wells Fargo Business,022825,Travel,False,False,True
2/26/25,Stripe Transfer St-C6I8N6I7S5I6 Ruben Ruiz,400.59,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/26/25,Online Transfer From Nail-Ruiz J Way2Save Savings xxxxxx4174,626.0,Wells Fargo Business,022825,Transfer,False,False,True
2/26/25,Online Transfer to Ruiz R Way2Save Savings xxxxxx2929 Ref,375.0,Wells Fargo Business,022825,Loan/Payments,False,False,True
2/26/25,Zelle to Ruiz Janice on 02/26 Ref #Pp0Yklwcy6 Health 625.00,30.95,Wells Fargo Business,022825,Transfer,False,False,True
2/27/25,Stripe Transfer St-P0N2T7E6P8K9 Ruben Ruiz,193.9,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/27/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,15.0,Wells Fargo Business,022825,Transfer,False,False,True
2/27/25,Purchase with Cash Back $ 40.00 authorized on 02/27 Sprouts,44.49,Wells Fargo Business,022825,Health/Wellness,False,False,True
2/27/25,Cox Comm Sab Bank Draft 022725 Lzp55Y7Tfgp9Kty Wells 179.54,15.82,Wells Fargo Business,022825,Communications,False,False,True
2/28/25,Stripe Transfer St-x3N4L1G2Q1P4 Ruben Ruiz,22.23,Wells Fargo Business,022825,Software/SaaS,False,False,True
2/28/25,Purchase authorized on 02/27 Prime Video Channe,4.99,Wells Fargo Business,022825,Uncategorized,False,False,True
2/28/25,Monthly Service Fee 10.00,23.06,Wells Fargo Business,022825,Interest/Bank Fees,False,False,True
3/3/25,Stripe Transfer St-V3J6I8M8P4M3 Ruben Ruiz,163.91,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/3/25,Online Transfer From Ruiz R Way2Save Savings xxxxxx2929 Ref,101.0,Wells Fargo Business,033125,Transfer,False,False,True
3/3/25,Online Transfer From Nail-Ruiz J Way2Save Savings xxxxxx4174,100.0,Wells Fargo Business,033125,Transfer,False,False,True
3/3/25,Online Transfer From Nail-Ruiz J Way2Save Savings xxxxxx4174,50.0,Wells Fargo Business,033125,Transfer,False,False,True
3/3/25,Purchase authorized on 02/28 Pressed Juicery - Santa Barbara,14.0,Wells Fargo Business,033125,Meals/Entertainment,False,False,True
3/3/25,Recurring Payment authorized on 02/28 Audible*D28L31Zg3,14.95,Wells Fargo Business,033125,Uncategorized,False,False,True
3/3/25,Purchase authorized on 03/01 Google*Gsuite Rank CC,7.2,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/3/25,Recurring Payment authorized on 03/01 Sinch Mailgun,35.41,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/3/25,Recurring Payment authorized on 03/02 x Corp. Paid Featu,16.0,Wells Fargo Business,033125,Uncategorized,False,False,True
3/3/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,25.0,Wells Fargo Business,033125,Loan/Payments,False,False,True
3/3/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,75.0,Wells Fargo Business,033125,Loan/Payments,False,False,True
3/3/25,ATM Withdrawal authorized on 03/03 3804 State St Santa,40.0,Wells Fargo Business,033125,Uncategorized,False,False,True
3/3/25,Vz Wireless Vw Vzw Webpay 250302 8125360 Ruben *Ruiz 178.46,31.95,Wells Fargo Business,033125,Uncategorized,False,False,True
3/4/25,Stripe Transfer St-M2B0C4D4E0Y2 Ruben Ruiz,336.82,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/4/25,Purchase authorized on 03/03 Sq *Lighthouse Cof Santa,10.0,Wells Fargo Business,033125,Uncategorized,False,False,True
3/4/25,Purchase authorized on 03/03 Wingstop 1872 Santa Barbara,8.7,Wells Fargo Business,033125,Meals/Entertainment,False,False,True
3/4/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,25.0,Wells Fargo Business,033125,Loan/Payments,False,False,True
3/4/25,Online Transfer to Nail-Ruiz J Way2Save Savings xxxxxx4174 Ref,150.0,Wells Fargo Business,033125,Loan/Payments,False,False,True
3/4/25,ATM Withdrawal authorized on 03/04 195 N Fairview Ave,40.0,Wells Fargo Business,033125,Uncategorized,False,False,True
3/4/25,Purchase authorized on 03/04 Ptgc LLC Goleta Goleta CA 13.10,121.97,Wells Fargo Business,033125,Uncategorized,False,False,True
3/5/25,Stripe Transfer St-N0I6O4F5R1D8 Ruben Ruiz,9.47,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/5/25,Purchase authorized on 03/04 Coinledger-Inc Coinledger.Io,89.99,Wells Fargo Business,033125,Uncategorized,False,False,True
3/5/25,"Recurring Transfer to Carpefukendiem, LLC Business Market 25.00",16.45,Wells Fargo Business,033125,Loan/Payments,False,False,True
3/6/25,Stripe Transfer St-B0U1B3C0Q7R3 Ruben Ruiz,249.55,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/6/25,Recurring Payment authorized on 03/05 Highlevel Inc.,25.0,Wells Fargo Business,033125,Software/SaaS,True,False,True
3/6/25,Purchase authorized on 03/06 Talevi's Wines and Spirit Santa,5.05,Wells Fargo Business,033125,Uncategorized,False,False,True
3/6/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref 100.00,135.95,Wells Fargo Business,033125,Loan/Payments,False,False,True
3/7/25,Stripe Transfer St-F6E6Z9O9U8L5 Ruben Ruiz,169.34,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/7/25,Zelle From Nailruiz Janice on 03/07 Ref # Pp0Ylm5Tz6 High 300.00,605.29,Wells Fargo Business,033125,Transfer,False,False,True
3/10/25,Stripe Transfer St-B7H8Q9x6U3T0 Ruben Ruiz,22.27,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/10/25,Purchase authorized on 03/07 Sq *Lighthouse Cof Santa,10.0,Wells Fargo Business,033125,Uncategorized,False,False,True
3/10/25,Purchase authorized on 03/07 Taqueria Lillys IN Santa Barbara,10.15,Wells Fargo Business,033125,Meals/Entertainment,False,False,True
3/10/25,Purchase authorized on 03/07 Sq *Panino Goleta Goleta CA,18.45,Wells Fargo Business,033125,Uncategorized,False,False,True
3/10/25,Recurring Payment authorized on 03/07 Highlevel Agency S,497.0,Wells Fargo Business,033125,Software/SaaS,True,False,True
3/10/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,45.0,Wells Fargo Business,033125,Loan/Payments,False,False,True
3/10/25,Purchase authorized on 03/07 Taco Bell 027776 Goleta CA,8.24,Wells Fargo Business,033125,Meals/Entertainment,False,False,True
3/10/25,Recurring Payment authorized on 03/08 Tradingviewv*Produ 155.40 -,116.68,Wells Fargo Business,033125,Uncategorized,False,False,True
3/11/25,Overdraft Fee for a Transaction Posted on 03/10 $155.40,35.0,Wells Fargo Business,033125,Interest/Bank Fees,False,False,True
3/11/25,Stripe Transfer St-T0Y0C5Z1Z4D2 Ruben Ruiz,1202.23,Wells Fargo Business,033125,Software/SaaS,False,False,True
3/11/25,Zelle to Ruiz Janice on 03/11 Ref #Pp0Ylxnb32 Gohighlevel,300.0,Wells Fargo Business,033125,Software/SaaS,True,False,True
3/11/25,Online Transfer to Nail-Ruiz J Way2Save Savings xxxxxx4174 Ref,40.0,Wells Fargo Business,033125,Loan/Payments,False,False,True
