Priority,Business Name,Phone,Email,Address,City,Category,Has Website,Current Website,Why They're a Good Target,Suggested Outreach Angle,Call Script,Prospect ID,Date Found
🔥 HOT,Spotless Solutions,(805) 555-0701,,,Carlsbad,Home Services,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Home service providers found via Google - need SEO-optimized sites; Phone only - call during business hours,"Hi, this is Ruben. I was looking for home services services in Carlsbad and noticed Spotless Solutions doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975975986_n54wp1kti,2/24/2026
🔥 HOT,Hammer Time Builders,(805) 555-0857,,,Encinitas,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in Encinitas and noticed Hammer Time Builders doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975974483_p17rn1l2n,2/24/2026
🔥 HOT,Power Up Electrical,(805) 555-0278,,,La Jolla,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in La Jolla and noticed Power Up Electrical doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975972979_jgisp840i,2/24/2026
🔥 HOT,Lightning Electric,(805) 555-0445,,,La Jolla,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in La Jolla and noticed Lightning Electric doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975972978_tkhmwxu37,2/24/2026
🔥 HOT,Coastal Services,(805) 555-0200,,,Inglewood,Professional,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Professional services need credibility through web presence; Phone only - call during business hours,"Hi, this is Ruben. I was looking for professional services in Inglewood and noticed Coastal Services doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975971474_cav6bj9ib,2/24/2026
🔥 HOT,Morning Brew Cafe,(805) 555-0679,,,San Diego,Restaurant,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Restaurants need online menus and reservation systems; Phone only - call during business hours,"Hi, this is Ruben. I was looking for restaurant services in San Diego and noticed Morning Brew Cafe doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975919707_1mpyd9xw4,2/24/2026
🔥 HOT,Coastal Dental Care,(805) 555-0890,,,Huntington Beach,Medical,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Medical practices need patient portals and appointment booking; Phone only - call during business hours,"Hi, this is Ruben. I was looking for medical services in Huntington Beach and noticed Coastal Dental Care doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975913699_m08opez3g,2/24/2026
🔥 HOT,Valley Professionals,(805) 555-0400,,,Torrance,Home Services,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Home service providers found via Google - need SEO-optimized sites; Phone only - call during business hours,"Hi, this is Ruben. I was looking for home services services in Torrance and noticed Valley Professionals doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975912196_i57f94xe6,2/24/2026
🔥 HOT,Santa Barbara Roofers,(805) 555-0790,,,Camarillo,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in Camarillo and noticed Santa Barbara Roofers doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975910691_qt32cu610,2/24/2026
🔥 HOT,Unknown,,,,Ventura,Medical,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Medical practices need patient portals and appointment booking; Phone only - call during business hours,"Hi, this is Ruben. I was looking for medical services in Ventura and noticed null doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771895708134_99,2/23/2026
