Business Name,Phone,Email,Address,City,Category,Has Website,Website URL,Stage,Created Date
"",,,"",Ventura,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Retail,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Retail,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Retail,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Professional,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Professional,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Professional,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Medical,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Medical,No,,Prospect Found,2026-02-24
"El Paseo Mexican Grill",(805) 555-0423,elpaseo@grill.com,"",Marina del Rey,Restaurant,Yes,https://grill.com,Prospect Found,2026-02-24
"Mike's Plumbing Service",(805) 555-0123,mike@mikesplumbing.com,"",Carpinteria,Medical,Yes,https://mikesplumbing.com,Prospect Found,2026-02-24
"Smile Makers Dental",(805) 555-0567,smiles@dental.com,"",Huntington Beach,Medical,Yes,https://dental.com,Prospect Found,2026-02-24
"Sweet Sensations Bakery",(805) 555-0670,sweet@sensations.com,"",Goleta,Restaurant,Yes,https://sensations.com,Prospect Found,2026-02-24
"Sparkle Clean Services",(805) 555-0902,sparkle@clean.com,"",Burbank,Home Services,Yes,https://clean.com,Prospect Found,2026-02-24
"Santa Barbara Roofers",(805) 555-0790,,"",Camarillo,Contractor,No,,Prospect Found,2026-02-24
"Valley Professionals",(805) 555-0400,,"",Torrance,Home Services,No,,Prospect Found,2026-02-24
"Coastal Dental Care",(805) 555-0890,,"",Huntington Beach,Medical,No,,Prospect Found,2026-02-24
"Coastal Electric Co",(805) 555-0578,coastal@electric.com,"",Encinitas,Contractor,Yes,https://electric.com.com,Prospect Found,2026-02-24
"Morning Brew Cafe",(805) 555-0679,,"",San Diego,Restaurant,No,,Prospect Found,2026-02-24
"Coastal Services",(805) 555-0200,,"",Inglewood,Professional,No,,Prospect Found,2026-02-24
"Beachside Business",(805) 555-0500,beach@side.com,"",Inglewood,Professional,No,,Prospect Found,2026-02-24
"City Experts",(805) 555-0300,info@cityexperts.com,"",Inglewood,Professional,Yes,https://cityexperts.com.com,Prospect Found,2026-02-24
"Lightning Electric",(805) 555-0445,,"",La Jolla,Contractor,No,,Prospect Found,2026-02-24
"Volt Masters Electric",(805) 555-0145,volts@electric.com,"",La Jolla,Contractor,No,,Prospect Found,2026-02-24
"Power Up Electrical",(805) 555-0278,,"",La Jolla,Contractor,No,,Prospect Found,2026-02-24
"Solid Foundation Co",(805) 555-0290,solid@foundation.com,"",Encinitas,Contractor,No,,Prospect Found,2026-02-24
"Build Right Construction",(805) 555-0724,build@right.com,"",Encinitas,Contractor,Yes,https://right.com.com,Prospect Found,2026-02-24
"Hammer Time Builders",(805) 555-0857,,"",Encinitas,Contractor,No,,Prospect Found,2026-02-24
"Maid Perfect",(805) 555-0235,,"",Carlsbad,Home Services,No,,Prospect Found,2026-02-24
"Spotless Solutions",(805) 555-0701,,"",Carlsbad,Home Services,No,,Prospect Found,2026-02-24
"Crystal Clear Cleaners",(805) 555-0934,crystal@clean.com,"",Carlsbad,Home Services,Yes,https://clean.com.com,Prospect Found,2026-02-24
"Santa Barbara Smiles",(805) 555-0234,info@sbsmiles.com,"",Irvine,Medical,No,,Prospect Found,2026-02-24
"Bright Tooth Dental",(805) 555-0490,bright@dental.com,"",Irvine,Medical,Yes,https://dental.com.com,Prospect Found,2026-02-24
"Family Dental Center",(805) 555-0367,,"",Irvine,Medical,No,,Prospect Found,2026-02-24
"Green Thumb Landscaping",(805) 555-0678,green@thumb.com,"",Pasadena,Contractor,No,,Prospect Found,2026-02-24
"Nature's Edge Design",(805) 555-0512,nature@edge.com,"",Pasadena,Contractor,Yes,https://edge.com.com,Prospect Found,2026-02-24
"Paradise Landscapes",(805) 555-0478,,"",Pasadena,Contractor,No,,Prospect Found,2026-02-24
"Santa Barbara Plumbing Co",(805) 555-0456,,"",Culver City,Contractor,No,,Prospect Found,2026-02-24
"Quick Fix Plumbing",(805) 555-0324,,"",Culver City,Contractor,No,,Prospect Found,2026-02-24
"Coastal Plumbing Experts",(805) 555-0658,coastal@plumbing.com,"",Culver City,Contractor,Yes,https://plumbing.com.com,Prospect Found,2026-02-24
"Santa Barbara, CA Plumber",(805) 968-6845,,"6845 for a plumber in Santa Barbara",Santa Barbara,Contractor,Yes,https://www.rotorooter.com/santabarbara/,Prospect Found,2026-02-24
"Santa Barbara Plumber",(805) 516-5590,,"",Santa Barbara,Contractor,Yes,https://www.lewisplumbingsantabarbara.com/,Prospect Found,2026-02-24
"Jerry the Plumber",(805) 964-9841,,"",Santa Barbara,Contractor,Yes,https://www.jerrytheplumber.net/,Prospect Found,2026-02-24
"Plumbing Santa Barbara: Luigi Crisa",805.453.4722,,"",Santa Barbara,Contractor,Yes,https://luigicrisaplumbing.com/,Prospect Found,2026-02-24
"Wilson Plumbing",(805) 963-3454,,"215 Gray Ave, Santa Barbara",Santa Barbara,Contractor,Yes,https://www.wilsonplumbingsantabarbara.com/,Prospect Found,2026-02-24
"General Dentistry",805-671-9697,mattwallace87@yahoo.com,"",Ventura,Medical,Yes,https://www.venturasurfsidedental.com/,Prospect Found,2026-02-24
"Best Dentist in Ventura CA on 3959 Telegraph Rd",805 658-1588,,"",Ventura,Medical,Yes,https://www.thesmileshapers.com/,Prospect Found,2026-02-24
"Top Dentist Ventura, Cosmetic Dentist Ventura, Oxnard",(825) 840 0440,,"",Ventura,Medical,Yes,https://thedentalcareofventura.com/,Prospect Found,2026-02-24
"Dentist in Ventura CA",805-653-5606,,"",Ventura,Medical,Yes,https://www.venturasmile.com/meet-the-doctors/,Prospect Found,2026-02-24
"Air Conditioning Repair Installation Santa Barbara",(805) 692-4980,,"",Santa Barbara,Contractor,Yes,https://mccormackhvac.com/,Prospect Found,2026-02-24
"Econo West Heating & Air Conditioning",805-335-3232,,"",Santa Barbara,Contractor,Yes,https://www.econowestairsb.com/,Prospect Found,2026-02-24
"HVAC Services in Santa Barbara",(805) 954-9195,,"9195 for fast",Santa Barbara,Contractor,Yes,https://www.westcoast-air.com/areas-we-serve/santa-barbara/,Prospect Found,2026-02-24
"HVAC Company in Santa Barbara, CA",(805) 285-3988,,"3988 today for an est",Santa Barbara,Contractor,Yes,https://crockerair.com/,Prospect Found,2026-02-24
"Advanced Heating & Cooling of Santa Barbara",(805) 272-0677,,"",Santa Barbara,Contractor,Yes,https://www.advancedairandheating.com/,Prospect Found,2026-02-24
"Certified HVAC Repair in Goleta, California",805-242-9638,,"",Goleta,Contractor,Yes,https://www.allstarcomfortair.com/locations/goleta/,Prospect Found,2026-02-24
"AIR REPAIR",(805) 455-9549,,"",Goleta,Contractor,No,,Prospect Found,2026-02-24
"Goleta CA",(833) 538-9796,,"",Goleta,Contractor,Yes,https://www.conejoservices.com/goleta/,Prospect Found,2026-02-24
"ALL WEATHER",(805) 964-7900,,"",Goleta,Contractor,No,,Prospect Found,2026-02-24
"Anacapa Plumbing and Derooting Santa Barbara, CA",(805) 570-4041,,"",Santa Barbara,Contractor,Yes,https://anacapaplumbing.com/,Prospect Found,2026-02-24
"Riviera plumbing LLC",(805) 705-5913,,"",Santa Barbara,Contractor,Yes,https://rivieraplumbing.com/,Prospect Found,2026-02-24
"United Electric",(805) 650-8658,info@venturaelectricians.com,"399 N Aviador St",Ventura,Contractor,Yes,https://www.venturaelectricians.com/,Prospect Found,2026-02-24
"Infinity Electric",(805) 650-9054,,"6566 Beene Rd Ventura",Ventura,Contractor,No,,Prospect Found,2026-02-24
"Ventura County",800-984-4312,,"",Ventura,Contractor,Yes,https://powell-electric.com/service-area/ventura-county/,Prospect Found,2026-02-24
"Electrician Ventura County",805-509-8323,,"",Ventura,Contractor,Yes,https://electricianventuracounty.com/,Prospect Found,2026-02-24
"MB Electrical Service",805.377.3442,,"",Ventura,Contractor,Yes,http://www.mbelectricalservice.com/,Prospect Found,2026-02-24
"POOL SOLAR AND ROOFING",(949) 742-2945,,"",Oxnard,Contractor,No,,Prospect Found,2026-02-24
"Roofing Contractors",(805) 415-6027,,"",Oxnard,Contractor,Yes,https://www.garciagroofing.com/,Prospect Found,2026-02-24
"GREAT AMERICAN ROOFING",(805) 485-9426,,"167 Lambert St",Oxnard,Contractor,No,,Prospect Found,2026-02-24
"Oxnard Roofing",805-608-4154,,"4154 for a free est",Oxnard,Contractor,Yes,https://www.oxnardroofing.net/,Prospect Found,2026-02-24
"Best Roofing Company in Oxnard CA",(805) 947-0033,,"",Oxnard,Contractor,Yes,https://www.athenaroofingoxnard.com/,Prospect Found,2026-02-24
"Roofing Contractor in Ventura County, CA",(805) 387-6363,,"",Oxnard,Contractor,Yes,https://www.shieldroofingcorp.com/,Prospect Found,2026-02-24
"ESQUIVELS ROOFING",(805) 388-0164,,"4460 Justin Way, Oxnard",Oxnard,Contractor,No,,Prospect Found,2026-02-24
"TOP RESTAURANT",(626) 792-1412,,"1842 E Colorado Blvd, Pasadena",Pasadena,Restaurant,No,,Prospect Found,2026-02-24
"Pasadena",(626) 202-1616,,"218 S Lake Ave., Pasadena",Pasadena,Restaurant,Yes,https://urbanecafe.com/location/pasadena/,Prospect Found,2026-02-24
"SHOGUN RESTAURANT",(626) 351-8945,,"470 N Halstead St, Pasadena",Pasadena,Restaurant,No,,Prospect Found,2026-02-24
"MAESTRO RESTAURANT",(626) 787-1512,,"110 East Union St, Pasadena",Pasadena,Restaurant,No,,Prospect Found,2026-02-24
"LA Auto Center auto repair downtown LA los angeles",(213) 747-2847,,"",Los Angeles,Automotive,Yes,https://www.laautocenter.biz/,Prospect Found,2026-02-24
"KATHLEENS RESTAURANT",(626) 578-0722,,"595 N Lake Ave Pasadena",Pasadena,Restaurant,No,,Prospect Found,2026-02-24
"Auto Repair Los Angeles 90023",(323) 870-6282,,"",Los Angeles,Automotive,Yes,https://avosautorepair.com/,Prospect Found,2026-02-24
"L.A. AUTO REPAIR",(323) 846-9188,,"4088 S Figueroa St, Los Angeles",Los Angeles,Automotive,No,,Prospect Found,2026-02-24
"Auto Repair Shop in Los Angeles, CA",(424) 283-4303,,"8687 W Pico Blvd Los Angeles",Los Angeles,Automotive,Yes,https://carotechautomotive.com/,Prospect Found,2026-02-24
"BEST AUTOMOTIVE REPAIR",(310) 276-1172,,"",Los Angeles,Automotive,No,,Prospect Found,2026-02-24
"Services provided by Southcal Landscape Corporation in Irvine",(949) 704-5574,,"",Irvine,Home Services,Yes,https://south-cal-landscape.com/Irvine_CA.htm,Prospect Found,2026-02-24
"Commercial Landscape Services Inc",(949) 660-8655,,"1821 Reynolds Ave Irvine",Irvine,Home Services,Yes,https://clssocal.com/,Prospect Found,2026-02-24
"Irvine, CA Landscaping Company",(949) 295-2090,,"",Irvine,Home Services,Yes,https://www.foreveryounglandscape.com/landscaping-irvine-ca,Prospect Found,2026-02-24
"Irvine Commercial Landscape Services",(800) 741-9150,,"",Irvine,Home Services,Yes,https://www.staygreen.com/service-areas/irvine/,Prospect Found,2026-02-24
"Contact Irvine Landscapers",(949) 267-5564,,"2600 Michelson Dr Suite 140 Irvine",Irvine,Home Services,Yes,https://irvinelandscapers.com/contact/,Prospect Found,2026-02-24
"Landscaping in Irvine, CA",(949) 313-2633,,"",Irvine,Home Services,Yes,https://www.oclandscapingpros.com/irvine,Prospect Found,2026-02-24
"California Plumbing Company",(619) 787-3443,,"",San Diego,Contractor,Yes,https://californiaplumbingsd.com/,Prospect Found,2026-02-24
"Plumber San Diego",619-596-0888,,"",San Diego,Contractor,Yes,https://www.rotorooter.com/sandiego/,Prospect Found,2026-02-24
"San Diego Plumbers",(619) 941-0650,,"",San Diego,Contractor,Yes,https://www.abilityplumbingsd.com/,Prospect Found,2026-02-24
"Plumber in San Diego, CA",(619) 815-8704,,"",San Diego,Contractor,Yes,https://www.plumbingtreesd.com/,Prospect Found,2026-02-24
"Plumbing, HVAC & Drain Services in San Diego, CA",858-375-5633,,"",San Diego,Contractor,Yes,https://www.jpplumbers.com/,Prospect Found,2026-02-24
"San Diego Plumbers",(858) 544-6064,,"",San Diego,Contractor,Yes,https://www.exodusplumbing.com/,Prospect Found,2026-02-24
"Plumbing Services by Able Plumbing",(619) 985-8204,,"",San Diego,Contractor,Yes,https://san-diego-plumbing.com/,Prospect Found,2026-02-24
"Electrical Repair",858-900-8535,,"",San Diego,Contractor,Yes,https://www.srpelectricinc.com/,Prospect Found,2026-02-24
"US Electric Services",(858) 880-6080,,"",San Diego,Contractor,Yes,https://uselectricservices.com/,Prospect Found,2026-02-24
"Electricians San Diego, CA",858-926-6573,,"6573 Top Electricians in San Diego",San Diego,Contractor,Yes,https://www.electrician-sandiego.com/,Prospect Found,2026-02-24
"Electrician San Diego",858-227-7305,,"",San Diego,Contractor,Yes,https://electricalinsight.com/san-diego/,Prospect Found,2026-02-24
"Residential Electrician San Diego, CA",619-575-5518,,"",San Diego,Contractor,Yes,https://www.ochoaelectricsandiego.com/electrical-services,Prospect Found,2026-02-24
"Local Electrician in San Diego County",(619) 920-5129,,"",San Diego,Contractor,Yes,https://ansonelectricsd.com/,Prospect Found,2026-02-24
"Dentist in Irvine CA",(949) 823-0006,,"",Irvine,Medical,Yes,https://www.qhdentaloffice.com/,Prospect Found,2026-02-24
"Local Dentist Office in Irvine CA",949-236-6527,,"5685 Alton Pkwy , Irvine",Irvine,Medical,Yes,https://www.dentistsofirvine.com/,Prospect Found,2026-02-24
"Family, Esthetic, & Implant Dentistry",(949) 552-1701,info@irvinesmiledentistry.com,"",Irvine,Medical,Yes,https://irvinesmiledentistry.com/,Prospect Found,2026-02-24
"Light Breeze Dental",949-274-4719,,"",Irvine,Medical,Yes,https://www.lightbreezedental.com/,Prospect Found,2026-02-24
"Dentist Irvine CA",(714) 505-9595,,"",Irvine,Medical,Yes,https://www.amoredentistry.com/,Prospect Found,2026-02-24
"Dentist in Irvine, CA",949-559-5110,,"",Irvine,Medical,Yes,https://www.irvinedentalstudio.com/,Prospect Found,2026-02-24
"Arbor Dental Group",(949) 551-1443,,"14785 Jeffrey Rd #205 Irvine",Irvine,Medical,Yes,https://www.thearbordentalgroup.com/,Prospect Found,2026-02-24
"Home",619.298.6802,,"880 Harbor Island Drive San Diego",San Diego,Restaurant,Yes,https://www.clevelsd.com/,Prospect Found,2026-02-24
"Home",619.814.1300,,"880 B Harbor Island Drive San Diego",San Diego,Restaurant,Yes,https://www.coasterra.com/,Prospect Found,2026-02-24
"Lazy Dog Restaurants, LLC",(619) 481-6191,,"1202 Camino Del Rio N San Diego",San Diego,Restaurant,Yes,https://www.lazydogrestaurants.com/locations/san-diego-ca,Prospect Found,2026-02-24
"ANIMAE",619.432.1225,,"",San Diego,Restaurant,Yes,https://www.animaesd.com/,Prospect Found,2026-02-24
